family,heuristic,file,num_qubits,runtime_sec,orig_cx,comp_cx,added_cx,depth,size
Bernstein-Vazirani,lookahead,Bernstein-Vazirani_10qubits_circuit0.qasm,10,0.0008388329879380763,2,2,0,7,33
Bernstein-Vazirani,lookahead,Bernstein-Vazirani_10qubits_circuit1.qasm,10,0.0009279169898945838,3,3,0,8,35
Bernstein-Vazirani,lookahead,Bernstein-Vazirani_10qubits_circuit2.qasm,10,0.001097541011404246,4,4,0,11,37
Bernstein-Vazirani,lookahead,Bernstein-Vazirani_15qubits_circuit0.qasm,15,0.0020655840053223073,9,9,0,21,62
Bernstein-Vazirani,lookahead,Bernstein-Vazirani_15qubits_circuit1.qasm,15,0.0021440000273287296,8,8,0,19,60
Bernstein-Vazirani,lookahead,Bernstein-Vazirani_15qubits_circuit2.qasm,15,0.0018573749985080212,8,8,0,19,60
Bernstein-Vazirani,lookahead,Bernstein-Vazirani_20qubits_circuit0.qasm,20,0.0014049589808564633,5,5,0,12,69
Bernstein-Vazirani,lookahead,Bernstein-Vazirani_20qubits_circuit1.qasm,20,0.0025566249969415367,10,10,0,23,79
Bernstein-Vazirani,lookahead,Bernstein-Vazirani_20qubits_circuit2.qasm,20,0.0033317499910481274,14,14,0,30,87
Bernstein-Vazirani,lookahead,Bernstein-Vazirani_25qubits_circuit0.qasm,25,0.003255082992836833,11,11,0,24,96
Bernstein-Vazirani,lookahead,Bernstein-Vazirani_25qubits_circuit1.qasm,25,0.004305624985136092,16,16,0,35,106
Bernstein-Vazirani,lookahead,Bernstein-Vazirani_25qubits_circuit2.qasm,25,0.00271516598877497,10,10,0,23,94
Bernstein-Vazirani,lookahead,Bernstein-Vazirani_30qubits_circuit0.qasm,30,0.004630667011952028,17,17,0,37,123
Bernstein-Vazirani,lookahead,Bernstein-Vazirani_30qubits_circuit1.qasm,30,0.003531916008796543,13,13,0,29,115
Bernstein-Vazirani,lookahead,Bernstein-Vazirani_30qubits_circuit2.qasm,30,0.004023084009531885,15,15,0,32,119
Bernstein-Vazirani,lookahead,Bernstein-Vazirani_5qubits_circuit0.qasm,5,0.000651500013191253,1,1,0,6,17
Bernstein-Vazirani,lookahead,Bernstein-Vazirani_5qubits_circuit1.qasm,5,0.0005236249999143183,1,1,0,6,17
Bernstein-Vazirani,lookahead,Bernstein-Vazirani_5qubits_circuit2.qasm,5,0.0006503749755211174,2,2,0,7,18
